,Title,Date,From Airport,To Airport,Stops,Total Duration [Hours],Economy Flex [JOD],Business Plus [JOD],0_takeoff-location,0_takeoff-loc,0_landing-location,0_landing-loc,0_departure-time,0_arrival-time,0_flight-duration [Hours],1_stop-duration [Hours],2_takeoff-location,2_takeoff-loc,2_landing-location,2_landing-loc,2_departure-time,2_arrival-time,2_flight-duration [Hours],Economy Plus [JOD]
30,Amman - San Francisco, Saturday 05 August,Queen Alia (AMM),San Francisco International (SFO),1,21.42,1979.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:00,4.58,
31,Amman - San Francisco, Saturday 05 August,Queen Alia (AMM),San Francisco International (SFO),1,21.97,1979.85,2157.05,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.42,John F. Kennedy International,JFK,San Francisco International,SFO,20:30,00:13,6.72,
32,Amman - San Francisco, Saturday 05 August,Queen Alia (AMM),San Francisco International (SFO),1,24.07,1979.85,2157.05,Queen Alia,AMM,O Hare International,ORD,02:15,06:50,12.58,6.93,O Hare International,ORD,San Francisco International,SFO,13:46,16:19,4.55,
33,Amman - San Francisco, Saturday 05 August,Queen Alia (AMM),San Francisco International (SFO),1,30.75,1979.85,2157.05,Queen Alia,AMM,O Hare International,ORD,02:15,06:50,12.58,13.58,O Hare International,ORD,San Francisco International,SFO,20:25,23:00,4.58,
34,Amman - San Francisco, Saturday 05 August,Queen Alia (AMM),San Francisco International (SFO),1,38.73,1979.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,21.6,O Hare International,ORD,San Francisco International,SFO,13:46,16:19,4.55,
35,Amman - San Francisco, Sunday 06 August,Queen Alia (AMM),San Francisco International (SFO),1,21.42,1979.85,2157.05,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:00,4.58,
36,Amman - San Francisco, Sunday 06 August,Queen Alia (AMM),San Francisco International (SFO),1,21.97,1979.85,,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.42,John F. Kennedy International,JFK,San Francisco International,SFO,20:30,00:13,6.72,
37,Amman - San Francisco, Sunday 06 August,Queen Alia (AMM),San Francisco International (SFO),1,24.07,1979.85,,Queen Alia,AMM,O Hare International,ORD,02:15,06:50,12.58,6.93,O Hare International,ORD,San Francisco International,SFO,13:46,16:19,4.55,
38,Amman - San Francisco, Sunday 06 August,Queen Alia (AMM),San Francisco International (SFO),1,30.75,1979.85,,Queen Alia,AMM,O Hare International,ORD,02:15,06:50,12.58,13.58,O Hare International,ORD,San Francisco International,SFO,20:25,23:00,4.58,
39,Amman - San Francisco, Sunday 06 August,Queen Alia (AMM),San Francisco International (SFO),1,38.73,1979.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,21.6,O Hare International,ORD,San Francisco International,SFO,13:46,16:19,4.55,
40,Amman - San Francisco, Monday 07 August,Queen Alia (AMM),San Francisco International (SFO),1,21.42,1979.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:00,4.58,
41,Amman - San Francisco, Monday 07 August,Queen Alia (AMM),San Francisco International (SFO),1,21.97,1979.85,2157.05,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.42,John F. Kennedy International,JFK,San Francisco International,SFO,20:30,00:13,6.72,
42,Amman - San Francisco, Monday 07 August,Queen Alia (AMM),San Francisco International (SFO),1,24.07,1979.85,,Queen Alia,AMM,O Hare International,ORD,02:15,06:50,12.58,6.93,O Hare International,ORD,San Francisco International,SFO,13:46,16:19,4.55,
43,Amman - San Francisco, Monday 07 August,Queen Alia (AMM),San Francisco International (SFO),1,30.75,1979.85,,Queen Alia,AMM,O Hare International,ORD,02:15,06:50,12.58,13.58,O Hare International,ORD,San Francisco International,SFO,20:25,23:00,4.58,
44,Amman - San Francisco, Tuesday 08 August,Queen Alia (AMM),San Francisco International (SFO),1,21.42,1979.85,2157.05,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:00,4.58,
45,Amman - San Francisco, Tuesday 08 August,Queen Alia (AMM),San Francisco International (SFO),1,21.97,1979.85,,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.42,John F. Kennedy International,JFK,San Francisco International,SFO,20:30,00:13,6.72,
46,Amman - San Francisco, Wednesday 09 August,Queen Alia (AMM),San Francisco International (SFO),1,21.42,1979.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.25,O Hare International,ORD,San Francisco International,SFO,20:25,23:00,4.58,
47,Amman - San Francisco, Wednesday 09 August,Queen Alia (AMM),San Francisco International (SFO),1,21.97,1979.85,2157.05,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,3.42,John F. Kennedy International,JFK,San Francisco International,SFO,20:30,00:13,6.72,
