,Title,Date,From Airport,To Airport,Stops,Total Duration [Hours],Economy Flex [JOD],Business Plus [JOD],0_takeoff-location,0_takeoff-loc,0_landing-location,0_landing-loc,0_departure-time,0_arrival-time,0_flight-duration [Hours],1_stop-duration [Hours],2_takeoff-location,2_takeoff-loc,2_landing-location,2_landing-loc,2_departure-time,2_arrival-time,2_flight-duration [Hours],Economy Plus [JOD]
65,Amman - San Francisco, Tuesday 15 August,Queen Alia (AMM),San Francisco International (SFO),1,22.67,1979.85,2157.05,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,4.17,John F. Kennedy International,JFK,San Francisco International,SFO,21:15,00:55,6.67,
66,Amman - San Francisco, Wednesday 16 August,Queen Alia (AMM),San Francisco International (SFO),1,21.57,1979.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.3,O Hare International,ORD,San Francisco International,SFO,20:28,23:09,4.68,
67,Amman - San Francisco, Wednesday 16 August,Queen Alia (AMM),San Francisco International (SFO),1,22.67,1979.85,2157.05,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,4.17,John F. Kennedy International,JFK,San Francisco International,SFO,21:15,00:55,6.67,
68,Amman - San Francisco, Thursday 17 August,Queen Alia (AMM),San Francisco International (SFO),1,21.57,1994.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.3,O Hare International,ORD,San Francisco International,SFO,20:28,23:09,4.68,
69,Amman - San Francisco, Thursday 17 August,Queen Alia (AMM),San Francisco International (SFO),1,22.67,1994.85,2172.05,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,4.17,John F. Kennedy International,JFK,San Francisco International,SFO,21:15,00:55,6.67,
70,Amman - San Francisco, Friday 18 August,Queen Alia (AMM),San Francisco International (SFO),1,21.57,1994.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.3,O Hare International,ORD,San Francisco International,SFO,20:28,23:09,4.68,
71,Amman - San Francisco, Friday 18 August,Queen Alia (AMM),San Francisco International (SFO),1,22.67,1994.85,2172.05,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,4.17,John F. Kennedy International,JFK,San Francisco International,SFO,21:15,00:55,6.67,
72,Amman - San Francisco, Friday 18 August,Queen Alia (AMM),San Francisco International (SFO),1,38.88,1994.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,21.7,O Hare International,ORD,San Francisco International,SFO,13:52,16:28,4.6,
73,Amman - San Francisco, Friday 18 August,Queen Alia (AMM),San Francisco International (SFO),1,21.57,1994.85,,Queen Alia,AMM,O Hare International,ORD,11:35,16:10,12.58,4.3,O Hare International,ORD,San Francisco International,SFO,20:28,23:09,4.68,
74,Amman - San Francisco, Friday 18 August,Queen Alia (AMM),San Francisco International (SFO),1,22.67,1994.85,2172.05,Queen Alia,AMM,John F. Kennedy International,JFK,12:15,17:05,11.83,4.17,John F. Kennedy International,JFK,San Francisco International,SFO,21:15,00:55,6.67,
